snapshot_as_of,item_id,item_created_at,baseline_bucket,with_trends_bucket,baseline_score,with_trends_score,risk_delta,bucket_transition,trend_overlap_terms,edge_case_flags,matched_topic_signals
2016-06-24T12:00:00Z,c733cdbb-d694-403c-afbb-244db65a63fa,2015-11-11T06:48:51Z,low,low,0.54,0.54,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,05ed583b-5dbc-4182-98d0-94c3dd76d5af,2016-02-14T13:29:18Z,low,low,0.27,0.27,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,a1783b77-7063-47ae-8305-6c2357c32e9e,2015-06-05T11:56:45Z,low,low,0.0,0.0,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,00ed6e7c-d574-4acf-b900-7f4abeffc317,2016-02-13T03:14:42Z,low,low,11.28,11.28,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,cb61b3c2-5d00-4f6a-a528-072f0d0eb39b,2015-06-29T21:48:42Z,low,low,5.9,5.9,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,7520ba04-2aa9-40ec-a724-4f31ec9454b1,2015-11-08T13:46:00Z,low,low,7.54,7.54,0.0,low->low,[],[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,de1f981c-a14a-4308-8e6e-a8b9e93dc471,2016-05-12T12:44:30Z,low,low,0.03,0.03,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,34de973e-50e5-483b-aff6-d6d2291ee0b2,2015-10-12T17:49:39Z,low,low,9.62,9.62,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,69955bb5-d5e3-446a-ad1c-e2549a1e64e6,2016-02-08T12:25:01Z,low,low,4.29,4.29,0.0,low->low,[],[],"[{""topic_names"": [""online_safety""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,197227f1-c7fa-4645-bbb8-d05000e77d49,2016-03-26T18:24:48Z,low,low,13.16,13.16,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,4c176cc3-c25a-4dea-a326-3c48fba105ef,2016-02-22T03:38:42Z,low,low,13.25,13.25,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2016-06-24T12:00:00Z,1be5b31c-59b2-4cc2-bd65-97a224bb45e9,2015-04-24T06:44:06Z,low,low,6.09,6.09,0.0,low->low,[],[],[]
2016-06-24T12:00:00Z,7e08380a-70de-4375-afda-7ca31ae4b44f,2016-02-14T02:10:00Z,low,low,13.28,13.28,0.0,low->low,[],"[""possible_ambiguity"", ""possible_political_term_non_political""]","[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,3551a28a-f089-4e25-bb6a-a06a6e3b8130,2019-11-29T08:43:51Z,low,low,0.22,0.22,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,a6604602-7a65-4bb8-8022-a5a3f45bc82b,2019-03-26T02:19:12Z,low,low,0.9,0.9,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,bf40b757-8ca7-4d2e-80ae-c092a045ced7,2019-11-13T19:56:57Z,low,low,0.27,0.27,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,04623467-4fba-4494-8bc0-1efdb47c2f36,2018-05-21T21:39:46Z,low,low,8.75,18.75,10.0,low->low,"[""lockdown""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,8750b49f-925d-4fff-89c1-7b33915b166e,2019-09-23T15:10:41Z,low,low,12.41,22.41,10.0,low->low,"[""coronavirus""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,6a986d52-2927-4feb-81e9-21fcc9b051d0,2018-11-30T21:44:31Z,low,low,11.22,11.22,0.0,low->low,[],[],"[{""topic_names"": [""finance""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,5145de2c-2ea8-40d9-88bd-7c9ddefcbc46,2018-08-08T05:04:11Z,low,low,1.53,1.53,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,53ab103b-7804-46fa-bc41-148089f1545d,2015-08-20T05:28:29Z,low,low,12.5,12.5,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,7c6c450f-23b2-43f1-97e0-096993066a6f,2019-03-02T09:33:58Z,low,low,5.97,5.97,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,16e94edd-8a70-4a2c-b067-7b962cd4b53c,2015-07-16T04:08:08Z,low,low,12.6,12.6,0.0,low->low,[],"[""possible_ambiguity""]","[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,9ac8102b-3b7a-4c06-b202-c6f4b9da6c96,2016-08-01T05:07:17Z,low,low,16.55,16.55,0.0,low->low,[],"[""possible_ambiguity""]","[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,be28ef36-d924-470e-8bb2-333f6bb59601,2017-08-24T17:45:26Z,low,low,9.49,19.49,10.0,low->low,"[""nhs""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,6ff25002-27b8-4a8e-98c9-651da9c66147,2017-08-18T04:07:29Z,low,low,0.51,0.51,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,8457b309-d2ad-4c2f-be3c-937f2e8d5bda,2019-08-11T09:59:08Z,low,low,20.53,20.53,0.0,low->low,[],[],"[{""topic_names"": [""violence""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,c4f9a7c3-ed09-44ff-861b-ebff41bc3c7e,2018-03-25T14:06:46Z,low,low,6.9,6.9,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,cfe8f684-65d1-4425-92fd-9f7c914ed47a,2016-12-14T04:40:56Z,low,low,11.18,11.18,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,4f1cd519-0c08-4899-95a3-0f28a47b44ac,2018-05-25T02:27:26Z,low,low,12.74,12.74,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,7a2ac75d-bd21-4dd2-9436-bc746cc8be8c,2015-11-16T05:51:07Z,low,low,23.26,23.26,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,4ce34a4e-7bee-4019-bd30-9d2faa7ddac6,2019-10-17T20:50:44Z,low,low,0.34,0.34,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,925a1f0c-be67-4618-aeab-cd823681cf19,2016-08-09T02:52:58Z,low,low,3.53,3.53,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,7e3f7f9b-19fd-4722-b81a-f3a0e9cbbaf5,2019-02-25T01:35:50Z,low,low,9.98,9.98,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,afe3c20e-97ac-445d-9b97-3cd85aed78b2,2019-12-04T13:29:04Z,low,low,0.21,0.21,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,5bd306fb-ce97-41b8-9690-a482cb030d65,2015-10-01T22:41:41Z,low,low,2.39,2.39,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,16f37b90-2d5c-41bf-b16b-81c4b5193be7,2019-06-15T14:58:00Z,low,low,5.68,5.68,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,5d97696f-4b01-4aab-9299-8ce53fe21276,2016-03-06T01:43:05Z,low,low,15.96,15.96,0.0,low->low,[],[],"[{""topic_names"": [""drugs""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,81bc0c25-7c10-4d43-8770-a9514c31a1c3,2020-01-29T19:25:18Z,low,low,0.05,0.05,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,992c94bd-0960-45bf-b105-28f486656bbc,2018-06-06T15:25:41Z,low,low,9.7,9.7,0.0,low->low,[],"[""possible_ambiguity""]","[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,db775f5b-fa34-4e1a-80de-348b6470890a,2017-12-20T06:53:48Z,low,low,2.17,2.17,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,981db198-9d12-4c8b-9d26-7b56c90f41f2,2015-02-27T14:01:12Z,low,low,11.98,21.98,10.0,low->low,"[""coronavirus""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,ecd034bc-0d7a-451f-9e7f-0c7754f3c1d9,2016-08-31T09:12:28Z,low,low,3.47,3.47,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,1052557c-f00f-405a-ba0c-193c575c034b,2017-02-26T15:36:13Z,low,low,2.98,2.98,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,2fa5a29b-21f9-48b8-a868-2b050669883c,2019-04-17T13:27:25Z,low,low,12.84,22.84,10.0,low->low,"[""vaccine""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,3a216d41-1889-463d-819a-6d5af4e32164,2018-07-10T20:05:00Z,low,low,1.61,1.61,0.0,low->low,[],"[""possible_ambiguity""]",[]
2020-03-20T12:00:00Z,fdb7e43a-1a66-4436-a192-98cf9cf01b86,2015-06-04T00:24:39Z,low,low,10.72,10.72,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,9d71328f-5a19-4ed1-8a50-f0059bd46ded,2017-07-23T09:17:45Z,low,low,10.58,10.58,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,889ed15a-3847-4958-917e-8df684e89856,2016-08-15T16:51:28Z,low,low,9.51,9.51,0.0,low->low,[],[],"[{""topic_names"": [""online_safety""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,6cbb364f-7b6b-45af-bb32-cd7759a6aa20,2016-08-02T04:21:51Z,low,low,3.55,3.55,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,3433af0f-a1a4-4b7e-a6e2-e7981de72121,2016-07-21T11:39:09Z,low,low,17.58,17.58,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,50406738-d013-4265-805e-b0330ced0b69,2015-07-05T03:41:01Z,low,low,17.63,17.63,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,ecc9282d-262f-4483-b217-b71b59172dc7,2016-04-12T21:27:17Z,low,low,9.85,9.85,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,799f87f7-13a8-424f-bc26-803a937a1bf5,2015-06-10T16:10:00Z,low,low,14.7,14.7,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,67d1c487-06cc-4c59-831a-c4c0dc1e1da6,2018-02-01T05:09:27Z,low,low,9.05,19.05,10.0,low->low,"[""lockdown""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,791c47fd-6c7d-4a16-9584-96f016af330f,2020-01-18T16:16:42Z,low,low,8.08,8.08,0.0,low->low,[],"[""possible_ambiguity""]","[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,c3e26e9e-dd8e-4678-b0fc-7f1f9a5ed433,2017-03-12T06:39:53Z,low,low,20.94,20.94,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,f90322ce-c646-4e89-929c-30002264f0cb,2019-07-04T21:47:39Z,low,low,0.63,0.63,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,b164d86f-e935-41da-bbc0-d068c16b429a,2017-03-10T11:40:29Z,low,low,7.95,7.95,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,14e95486-2e0f-4955-b0f9-3075b29cf4a3,2019-11-23T06:24:21Z,low,low,7.24,7.24,0.0,low->low,[],[],"[{""topic_names"": [""drugs""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,585a4a94-8b6b-46df-b7b5-264179f34ba3,2018-08-22T16:01:35Z,low,low,16.49,16.49,0.0,low->low,[],[],"[{""topic_names"": [""finance""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,c733cdbb-d694-403c-afbb-244db65a63fa,2015-11-11T06:48:51Z,low,low,4.28,4.28,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,ce1200f0-70d9-4e5f-a0fb-d50196f9d287,2018-09-24T19:28:55Z,low,low,1.4,1.4,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,05ed583b-5dbc-4182-98d0-94c3dd76d5af,2016-02-14T13:29:18Z,low,low,4.01,4.01,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,cb73d39d-3ce7-40cc-9b62-0435d624904a,2017-09-16T05:18:10Z,low,low,9.43,19.43,10.0,low->low,"[""vaccine""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,168d8964-6f1e-44b5-9e1f-c3ac7bcad634,2019-01-23T03:25:47Z,low,low,10.07,10.07,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,1622c023-236d-4665-92be-53dd35bd30dd,2020-02-17T23:16:08Z,low,low,5.0,5.0,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,52221700-c258-412e-aedd-0925b39fb40f,2017-09-23T03:30:31Z,low,low,13.41,13.41,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,5e2949c0-3944-4263-b534-a62cdd803bbf,2019-11-11T13:53:15Z,low,low,0.27,0.27,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,a1783b77-7063-47ae-8305-6c2357c32e9e,2015-06-05T11:56:45Z,low,low,2.71,2.71,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,1214f57e-ebac-4822-aaf8-a7c0e0c28acd,2020-03-15T11:30:00Z,low,low,7.0,17.0,10.0,low->low,"[""coronavirus""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,4313a161-1eb6-44c8-a98f-a11aeeac073e,2017-06-14T18:00:49Z,low,low,2.68,2.68,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,cac1bba4-d116-4808-8a8f-e201f51aa3a3,2019-11-12T09:15:00Z,low,low,0.0,0.0,0.0,low->low,[],"[""possible_sarcasm""]",[]
2020-03-20T12:00:00Z,00ed6e7c-d574-4acf-b900-7f4abeffc317,2016-02-13T03:14:42Z,low,low,15.02,15.02,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,867509fc-fdec-4f7a-a78e-96c9b5b51b98,2016-07-01T14:52:50Z,low,low,3.64,3.64,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,77fdafa4-db6b-4aba-918e-f62020550ec5,2018-04-15T01:36:06Z,low,low,6.85,6.85,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,cb61b3c2-5d00-4f6a-a528-072f0d0eb39b,2015-06-29T21:48:42Z,low,low,9.64,9.64,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,52fb8f82-0a3e-40ac-aaa5-4052c3c088dd,2019-01-27T21:43:02Z,low,low,20.06,20.06,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,d9449d0b-0f24-4176-b89a-63dbb4d6800d,2018-05-03T18:22:00Z,low,low,6.8,6.8,0.0,low->low,[],"[""possible_quote""]",[]
2020-03-20T12:00:00Z,cc42d291-84b5-458f-97cb-7080ab5830a6,2018-01-20T00:15:46Z,low,low,2.08,2.08,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,9cee763e-e27b-42b0-9bcf-48a17f1c1a51,2017-03-30T20:57:56Z,low,low,2.89,2.89,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,c5e1305b-1edb-453b-bb3b-0337aa41b552,2019-09-15T02:36:47Z,low,low,0.43,0.43,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,b5861022-4dcf-47ba-a986-6e2c4f1ef139,2018-07-11T05:32:46Z,low,low,8.61,18.61,10.0,low->low,"[""coronavirus""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,b3ce07ca-9af2-43a5-84d0-7203aab0526b,2017-04-14T10:56:33Z,low,low,10.85,10.85,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,b5847450-ef89-46ea-bea7-cc4278b8c39f,2017-09-30T19:56:18Z,low,low,2.39,2.39,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,15bdda15-152e-4167-9fc2-2118426e9f34,2019-03-29T11:08:24Z,low,low,5.9,5.9,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,7c08eb2c-c02e-4710-805e-5f5ec20c17b7,2016-11-09T17:02:54Z,low,low,13.28,13.28,0.0,low->low,[],[],"[{""topic_names"": [""finance""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,72cefd95-9a96-4531-b89d-fd3aa17036da,2019-11-23T06:44:33Z,low,low,5.24,5.24,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,0909e31a-be92-4a1e-b35c-8246809c77ba,2019-08-23T23:03:50Z,low,low,12.49,22.49,10.0,low->low,"[""coronavirus""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,28fd27d6-d0e8-4b34-8247-888daeddd7f7,2019-05-10T12:44:53Z,low,low,0.78,0.78,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,ffcd0211-fbba-4b46-9444-a9eb47750e18,2020-02-20T05:25:36Z,low,low,0.0,0.0,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,0e89ca9b-ba9d-4dc1-a1fa-6dbce2bc0227,2017-12-08T20:22:57Z,low,low,2.2,2.2,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,3dea4a10-42c4-48d1-803f-be041045a79a,2017-11-10T17:46:03Z,low,low,2.27,2.27,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,15e677cc-864e-43a7-89f4-f5ca2b73e486,2018-12-30T10:08:37Z,low,low,9.14,9.14,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,692089b1-995c-4550-a8ce-f1d58756e71c,2017-07-20T03:36:27Z,low,low,0.59,0.59,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,d73a9cd3-e90c-4b79-a7c8-f8969689104b,2019-11-09T12:13:15Z,low,low,0.28,0.28,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,7520ba04-2aa9-40ec-a724-4f31ec9454b1,2015-11-08T13:46:00Z,low,low,11.28,11.28,0.0,low->low,[],[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,de1f981c-a14a-4308-8e6e-a8b9e93dc471,2016-05-12T12:44:30Z,low,low,3.77,3.77,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,ca7e9e7f-0af4-46ec-82f4-1bbacfbcf172,2018-05-17T09:04:49Z,low,low,16.76,16.76,0.0,low->low,[],[],"[{""topic_names"": [""finance""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,410b90ba-1c1e-468c-a80d-811cd7779a8e,2019-01-30T11:17:17Z,low,low,9.05,9.05,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,67de8540-4ca2-4128-8914-c97faa70e290,2016-07-14T01:39:46Z,low,low,10.6,10.6,0.0,low->low,[],[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,d7648a28-acb1-482e-9b6e-c2b4322d9bb1,2019-09-03T06:56:21Z,low,low,12.46,22.46,10.0,low->low,"[""nhs""]",[],"[{""topic_names"": [""health_public""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,67041a0c-73f8-4ade-ba45-c7856c6c9493,2018-12-29T19:28:35Z,low,low,7.14,7.14,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,75b26415-2c1e-41f4-865e-25a31a6c4497,2017-01-29T12:27:00Z,low,low,3.05,3.05,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,32db2d2a-d7a8-43e6-af81-688c4f32af9b,2017-05-05T00:20:19Z,low,low,7.79,7.79,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,cea7593f-1f89-4548-9e07-e0dadf1f1c88,2019-05-16T18:09:21Z,low,low,0.76,0.76,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,e5198933-0a3b-4eb7-a46b-1d7e0fd6a6b4,2018-08-11T01:36:16Z,low,low,7.53,7.53,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,34de973e-50e5-483b-aff6-d6d2291ee0b2,2015-10-12T17:49:39Z,low,low,13.36,13.36,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,69955bb5-d5e3-446a-ad1c-e2549a1e64e6,2016-02-08T12:25:01Z,low,low,8.03,8.03,0.0,low->low,[],[],"[{""topic_names"": [""online_safety""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,81147bd1-0436-4bca-bfed-568bad0ee46a,2018-10-18T23:35:55Z,low,low,9.34,9.34,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,839548cf-c937-4db0-924f-8d75fb9b7985,2019-05-30T13:26:43Z,low,low,11.72,11.72,0.0,low->low,[],[],"[{""topic_names"": [""legal""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,197227f1-c7fa-4645-bbb8-d05000e77d49,2016-03-26T18:24:48Z,low,low,16.9,16.9,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,19ed025b-70ca-4a6a-8538-d0e1817d83ea,2019-12-19T13:33:01Z,low,low,12.17,12.17,0.0,low->low,[],[],"[{""topic_names"": [""drugs""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,aa248381-6e2e-428a-abc3-1f800f33dca2,2016-08-13T20:13:41Z,low,low,9.52,9.52,0.0,low->low,[],[],"[{""topic_names"": [""online_safety""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,b0a68dcc-ac4b-47b1-a0d5-bae0314993e4,2019-10-23T18:01:10Z,low,low,0.32,0.32,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,b43d653e-4b95-449e-9489-352177accb3c,2017-08-19T07:40:00Z,low,low,17.5,17.5,0.0,low->low,[],"[""possible_ambiguity""]","[{""topic_names"": [""violence""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,4c176cc3-c25a-4dea-a326-3c48fba105ef,2016-02-22T03:38:42Z,low,low,16.99,16.99,0.0,low->low,[],[],"[{""topic_names"": [""politics""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,f7025db2-a717-4f28-b458-b5660795ca43,2019-11-23T06:32:40Z,low,low,0.24,0.24,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,3fa0a894-daa4-42e7-bd16-e276d35d30f5,2020-02-15T06:55:19Z,low,low,0.01,0.01,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,da08b0b7-9b16-48cb-8dd4-3dc93cd5267d,2019-01-18T21:49:25Z,low,low,6.08,6.08,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,a9f55695-1aff-4a9d-83fa-ee2646dd9383,2017-12-26T11:41:53Z,low,low,7.15,7.15,0.0,low->low,[],[],[]
2020-03-20T12:00:00Z,c71c8366-5b76-4153-83d0-1a889a4bbfdd,2018-04-08T01:53:45Z,low,low,8.87,8.87,0.0,low->low,[],[],"[{""topic_names"": [""drugs""], ""explanation"": ""Matched topic keywords from config.""}]"
2020-03-20T12:00:00Z,1be5b31c-59b2-4cc2-bd65-97a224bb45e9,2015-04-24T06:44:06Z,low,low,9.83,9.83,0.0,low->low,[],[],[]
